   111/299     11.5G   0.01971   0.01076  0.001959   0.03243        45       640    0.9601    0.8587     0.917    0.6082   0.02797    0.0146  0.007252
   112/299     11.5G   0.01992   0.01089  0.001641   0.03245        65       640    0.9441    0.8587    0.9033    0.5949   0.02813   0.01473  0.007353
   113/299     11.5G   0.01973   0.01098  0.002101   0.03281        53       640    0.9329    0.8561    0.9039    0.5985   0.02821   0.01551  0.007884
   114/299     11.5G   0.01988   0.01136  0.001822   0.03306        51       640    0.9098    0.8724    0.9067    0.5955   0.02823   0.01495  0.008088
   115/299     11.5G   0.01968   0.01032   0.00205   0.03205        38       640    0.9334    0.8541    0.9021    0.5966   0.02805   0.01464  0.007431
   116/299     11.5G   0.02005    0.0109  0.001778   0.03273        49       640    0.9167    0.8297    0.8994    0.5888   0.02804   0.01497  0.009462
   117/299     11.5G   0.02019   0.01074  0.001802   0.03274        55       640    0.9221    0.8391    0.8957    0.5959     0.028   0.01493   0.01123
   118/299     11.5G   0.01979   0.01088  0.001715   0.03238        48       640    0.9418    0.8669    0.9138    0.6116   0.02778   0.01426  0.007254
   119/299     11.5G   0.01933    0.0107  0.002065   0.03209        40       640    0.9234    0.8676    0.9103    0.6053    0.0281   0.01473  0.007277
   120/299     11.5G   0.01934    0.0103  0.001315   0.03096        36       640    0.9585    0.8666    0.9181    0.6139   0.02739   0.01461  0.005895
   121/299     11.5G   0.01917   0.01052  0.001509   0.03121        50       640    0.9589    0.8463    0.9161    0.6006   0.02799   0.01505   0.00687
   122/299     11.5G   0.01882  0.009993  0.001416   0.03023        34       640    0.9234    0.8859    0.9124    0.6057   0.02789   0.01468  0.007028
   123/299     11.5G   0.01818   0.01007  0.001654    0.0299        39       640    0.9587    0.8664    0.9208    0.6132   0.02772   0.01501  0.006285
   124/299     11.5G   0.01906   0.01045  0.001676   0.03119        73       640    0.9592    0.8574    0.9073    0.6065   0.02786   0.01512  0.006046
   125/299     11.5G   0.01928   0.01011  0.001452   0.03084        40       640    0.9502    0.8901    0.9232    0.6126   0.02766   0.01485  0.005542
   126/299     11.5G   0.01872   0.01011   0.00153   0.03036        38       640    0.9556    0.8779    0.9197     0.612   0.02805    0.0151  0.004808
   127/299     11.5G    0.0186   0.01017  0.001361   0.03013        39       640    0.9462    0.8665    0.9162    0.6084   0.02766   0.01459   0.00547
   128/299     11.5G   0.01866   0.01035  0.001454   0.03047        49       640    0.9446    0.8726    0.9191    0.6169   0.02743   0.01455  0.005289
   129/299     11.5G   0.01873   0.01018  0.001696    0.0306        32       640    0.9428     0.869     0.918    0.6127   0.02711   0.01434  0.005833
   130/299     11.5G   0.01872   0.01018  0.001822   0.03072        46       640    0.9501    0.8614    0.9141    0.6098   0.02763   0.01444  0.006778
   131/299     11.5G   0.01861   0.01021  0.001489   0.03031        50       640    0.9625    0.8472    0.9104    0.6101   0.02766   0.01526  0.008135
   132/299     11.5G   0.01796   0.01025  0.001422   0.02963        44       640    0.9465    0.8609    0.9202    0.6148   0.02767   0.01488  0.006637
   133/299     11.5G   0.01828   0.01022  0.001656   0.03015        44       640    0.9374    0.8778    0.9205    0.6067   0.02742   0.01473  0.006389
